"","external_gene_name","description","gene_biotype"
"205","Ctla4","cytotoxic T-lymphocyte-associated protein 4 [Source:MGI Symbol;Acc:MGI:88556]","protein_coding"
"206","Icos","inducible T cell co-stimulator [Source:MGI Symbol;Acc:MGI:1858745]","protein_coding"
"207","Pard3b","par-3 family cell polarity regulator beta [Source:MGI Symbol;Acc:MGI:1919301]","protein_coding"
"208","Gm38336","predicted gene, 38336 [Source:MGI Symbol;Acc:MGI:5611564]","lncRNA"
"209","Pou3f1","POU domain, class 3, transcription factor 1 [Source:MGI Symbol;Acc:MGI:101896]","protein_coding"
"210","Xcl1","chemokine (C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:104593]","protein_coding"
"211","Gm38190","predicted gene, 38190 [Source:MGI Symbol;Acc:MGI:5611418]","lncRNA"
"212","Gm17090","predicted gene 17090 [Source:MGI Symbol;Acc:MGI:4937917]","lncRNA"
"213","Gm37864","predicted gene, 37864 [Source:MGI Symbol;Acc:MGI:5611092]","lncRNA"
"214","Tlr12","toll-like receptor 12 [Source:MGI Symbol;Acc:MGI:3045221]","protein_coding"
"215","Fer1l5","fer-1 like family member 5 [Source:MGI Symbol;Acc:MGI:3616091]","protein_coding"
"216","Gm43569","predicted gene 43569 [Source:MGI Symbol;Acc:MGI:5663706]","lncRNA"
"217","Gm43568","predicted gene 43568 [Source:MGI Symbol;Acc:MGI:5663705]","lncRNA"
"218","Gm11906","predicted gene 11906 [Source:MGI Symbol;Acc:MGI:3705114]","lncRNA"
"219","Pakap","paralemmin A kinase anchor protein [Source:MGI Symbol;Acc:MGI:5141924]","protein_coding"
"220","Cops9","COP9 signalosome subunit 9 [Source:MGI Symbol;Acc:MGI:1914165]","protein_coding"
"221","Gm29481","predicted gene 29481 [Source:MGI Symbol;Acc:MGI:5580187]","lncRNA"
"222","9430060I03Rik","RIKEN cDNA 9430060I03 gene [Source:MGI Symbol;Acc:MGI:3702484]","lncRNA"
"223","Gm13748","predicted gene 13748 [Source:MGI Symbol;Acc:MGI:3702115]","lncRNA"
"224","Plekhm3","pleckstrin homology domain containing, family M, member 3 [Source:MGI Symbol;Acc:MGI:2443627]","protein_coding"
"225","Plag1","pleiomorphic adenoma gene 1 [Source:MGI Symbol;Acc:MGI:1891916]","protein_coding"
"226","Gm10558","predicted gene 10558 [Source:MGI Symbol;Acc:MGI:3642906]","lncRNA"
"227","Gm10550","predicted gene 10550 [Source:MGI Symbol;Acc:MGI:3704193]","lncRNA"
"228","4930593A02Rik","RIKEN cDNA 4930593A02 gene [Source:MGI Symbol;Acc:MGI:1923132]","lncRNA"
"229","Gm16151","predicted gene 16151 [Source:MGI Symbol;Acc:MGI:3801826]","lncRNA"
"230","Gm16152","predicted gene 16152 [Source:MGI Symbol;Acc:MGI:3802058]","lncRNA"
"231","Gm27008","predicted gene, 27008 [Source:MGI Symbol;Acc:MGI:5504123]","lncRNA"
"232","Gm29113","predicted gene 29113 [Source:MGI Symbol;Acc:MGI:5579819]","lncRNA"
"233","Gm29114","predicted gene 29114 [Source:MGI Symbol;Acc:MGI:5579820]","lncRNA"
"234","Gm29112","predicted gene 29112 [Source:MGI Symbol;Acc:MGI:5579818]","lncRNA"
"235","Gm28112","predicted gene 28112 [Source:MGI Symbol;Acc:MGI:5578818]","lncRNA"
"236","Gm11831","predicted gene 11831 [Source:MGI Symbol;Acc:MGI:3650069]","lncRNA"
"237","Abca12","ATP-binding cassette, sub-family A member 12 [Source:MGI Symbol;Acc:MGI:2676312]","protein_coding"
"238","AI504432","expressed sequence AI504432 [Source:MGI Symbol;Acc:MGI:2139742]","lncRNA"
"239","A930002I21Rik","RIKEN cDNA A930002I21 gene [Source:MGI Symbol;Acc:MGI:1924480]","lncRNA"
"240","Gm1647","predicted gene 1647 [Source:MGI Symbol;Acc:MGI:2686493]","lncRNA"
"241","Gm28187","predicted gene 28187 [Source:MGI Symbol;Acc:MGI:5578893]","lncRNA"
"242","Gm28404","predicted gene 28404 [Source:MGI Symbol;Acc:MGI:5579110]","lncRNA"
"243","Gm15535","predicted gene 15535 [Source:MGI Symbol;Acc:MGI:3782983]","lncRNA"
