"","external_gene_name","description","gene_biotype"
"19055","Gapt","Grb2-binding adaptor, transmembrane [Source:MGI Symbol;Acc:MGI:3608341]","protein_coding"
"19056","Pdzd8","PDZ domain containing 8 [Source:MGI Symbol;Acc:MGI:2677270]","protein_coding"
"19057","Egfl6","EGF-like-domain, multiple 6 [Source:MGI Symbol;Acc:MGI:1858599]","protein_coding"
"19058","Banf1","BAF nuclear assembly factor 1 [Source:MGI Symbol;Acc:MGI:1346330]","protein_coding"
"19059","Ablim1","actin-binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1194500]","protein_coding"
"19060","Cd300c2","CD300C molecule 2 [Source:MGI Symbol;Acc:MGI:2153249]","protein_coding"
"19061","Nup62cl","nucleoporin 62 C-terminal like [Source:MGI Symbol;Acc:MGI:2685565]","protein_coding"
"19062","Shisal2b","shisa like 2B [Source:MGI Symbol;Acc:MGI:1925053]","protein_coding"
"19063","Gpm6b","glycoprotein m6b [Source:MGI Symbol;Acc:MGI:107672]","protein_coding"
"19064","Tmprss7","transmembrane serine protease 7 [Source:MGI Symbol;Acc:MGI:2686594]","protein_coding"
"19065","Htr2c","5-hydroxytryptamine (serotonin) receptor 2C [Source:MGI Symbol;Acc:MGI:96281]","protein_coding"
"19066","Cldn34c1","claudin 34C1 [Source:MGI Symbol;Acc:MGI:1920311]","protein_coding"
"19067","Polr2g","polymerase (RNA) II (DNA directed) polypeptide G [Source:MGI Symbol;Acc:MGI:1914960]","protein_coding"
"19068","Zdhhc15","zinc finger, DHHC domain containing 15 [Source:MGI Symbol;Acc:MGI:1915336]","protein_coding"
"19069","Kazald1","Kazal-type serine peptidase inhibitor domain 1 [Source:MGI Symbol;Acc:MGI:2147606]","protein_coding"
"19070","Cul4b","cullin 4B [Source:MGI Symbol;Acc:MGI:1919834]","protein_coding"
"19071","Lrrc46","leucine rich repeat containing 46 [Source:MGI Symbol;Acc:MGI:1916547]","protein_coding"
"19072","Tm9sf3","transmembrane 9 superfamily member 3 [Source:MGI Symbol;Acc:MGI:1914262]","protein_coding"
"19073","Hhex","hematopoietically expressed homeobox [Source:MGI Symbol;Acc:MGI:96086]","protein_coding"
"19074","Yif1a","Yip1 interacting factor homolog A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915340]","protein_coding"
"19075","Cdkl5","cyclin dependent kinase like 5 [Source:MGI Symbol;Acc:MGI:1278336]","protein_coding"
"19076","Gad1","glutamate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:95632]","protein_coding"
"19077","Rasgrp2","RAS, guanyl releasing protein 2 [Source:MGI Symbol;Acc:MGI:1333849]","protein_coding"
"19078","Zcchc18","zinc finger, CCHC domain containing 18 [Source:MGI Symbol;Acc:MGI:1914245]","protein_coding"
"19079","Srpx2","sushi-repeat-containing protein, X-linked 2 [Source:MGI Symbol;Acc:MGI:1916042]","protein_coding"
"19080","Cnksr2","connector enhancer of kinase suppressor of Ras 2 [Source:MGI Symbol;Acc:MGI:2661175]","protein_coding"
"19081","Exoc6","exocyst complex component 6 [Source:MGI Symbol;Acc:MGI:1351611]","protein_coding"
"19082","Las1l","LAS1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1923380]","protein_coding"
"19083","Armh4","armadillo-like helical domain containing 4 [Source:MGI Symbol;Acc:MGI:1914669]","protein_coding"
"19084","Pcsk5","proprotein convertase subtilisin/kexin type 5 [Source:MGI Symbol;Acc:MGI:97515]","protein_coding"
"19085","Klhl13","kelch-like 13 [Source:MGI Symbol;Acc:MGI:1914705]","protein_coding"
"19086","Il1rapl2","interleukin 1 receptor accessory protein-like 2 [Source:MGI Symbol;Acc:MGI:1913106]","protein_coding"
"19087","Fgf13","fibroblast growth factor 13 [Source:MGI Symbol;Acc:MGI:109178]","protein_coding"
"19088","Ntf3","neurotrophin 3 [Source:MGI Symbol;Acc:MGI:97380]","protein_coding"
"19089","Ercc6l","excision repair cross-complementing rodent repair deficiency complementation group 6 like [Source:MGI Symbol;Acc:MGI:2654144]","protein_coding"
"19090","Neurl1a","neuralized E3 ubiquitin protein ligase 1A [Source:MGI Symbol;Acc:MGI:1334263]","protein_coding"
"19091","Pdpn","podoplanin [Source:MGI Symbol;Acc:MGI:103098]","protein_coding"
"19092","Tceal3","transcription elongation factor A (SII)-like 3 [Source:MGI Symbol;Acc:MGI:1913354]","protein_coding"
"19093","Xiap","X-linked inhibitor of apoptosis [Source:MGI Symbol;Acc:MGI:107572]","protein_coding"
"19094","Abhd17b","abhydrolase domain containing 17B [Source:MGI Symbol;Acc:MGI:1917816]","protein_coding"
"19095","Tmem52","transmembrane protein 52 [Source:MGI Symbol;Acc:MGI:1916921]","protein_coding"
"19096","Stx5a","syntaxin 5A [Source:MGI Symbol;Acc:MGI:1928483]","protein_coding"
"19097","Sh2d1a","SH2 domain containing 1A [Source:MGI Symbol;Acc:MGI:1328352]","protein_coding"
"19098","Slc38a4","solute carrier family 38, member 4 [Source:MGI Symbol;Acc:MGI:1916604]","protein_coding"
"19099","Radx","RPA1 related single stranded DNA binding protein, X-linked [Source:MGI Symbol;Acc:MGI:2147848]","protein_coding"
"19100","Prkx","protein kinase, X-linked [Source:MGI Symbol;Acc:MGI:1309999]","protein_coding"
"19101","Tcaf2","TRPM8 channel-associated factor 2 [Source:MGI Symbol;Acc:MGI:2385258]","protein_coding"
"19102","Sox10","SRY (sex determining region Y)-box 10 [Source:MGI Symbol;Acc:MGI:98358]","protein_coding"
"19103","Tktl1","transketolase-like 1 [Source:MGI Symbol;Acc:MGI:1933244]","protein_coding"
"19104","Pls3","plastin 3 (T-isoform) [Source:MGI Symbol;Acc:MGI:104807]","protein_coding"
"19105","Myh6","myosin, heavy polypeptide 6, cardiac muscle, alpha [Source:MGI Symbol;Acc:MGI:97255]","protein_coding"
"19106","Cacul1","CDK2 associated, cullin domain 1 [Source:MGI Symbol;Acc:MGI:1926082]","protein_coding"
"19107","Slc22a27","solute carrier family 22, member 27 [Source:MGI Symbol;Acc:MGI:3042283]","protein_coding"
"19108","Pcx","pyruvate carboxylase [Source:MGI Symbol;Acc:MGI:97520]","protein_coding"
"19109","Nsdhl","NAD(P) dependent steroid dehydrogenase-like [Source:MGI Symbol;Acc:MGI:1099438]","protein_coding"
"19110","Ropn1","ropporin, rhophilin associated protein 1 [Source:MGI Symbol;Acc:MGI:1923628]","protein_coding"
"19111","Atp6ap1","ATPase, H+ transporting, lysosomal accessory protein 1 [Source:MGI Symbol;Acc:MGI:109629]","protein_coding"
"19112","Skint8","selection and upkeep of intraepithelial T cells 8 [Source:MGI Symbol;Acc:MGI:3651523]","protein_coding"
"19113","Iqsec2","IQ motif and Sec7 domain 2 [Source:MGI Symbol;Acc:MGI:3528396]","protein_coding"
"19114","Trub1","TruB pseudouridine (psi) synthase family member 1 [Source:MGI Symbol;Acc:MGI:1919383]","protein_coding"
"19115","Rab39b","RAB39B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1915040]","protein_coding"
"19116","Gm2663","predicted gene 2663 [Source:MGI Symbol;Acc:MGI:3780832]","protein_coding"
"19117","Fgd1","FYVE, RhoGEF and PH domain containing 1 [Source:MGI Symbol;Acc:MGI:104566]","protein_coding"
"19118","Dock8","dedicator of cytokinesis 8 [Source:MGI Symbol;Acc:MGI:1921396]","protein_coding"
"19119","Nolc1","nucleolar and coiled-body phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:1918019]","protein_coding"
"19120","Lrcol1","leucine rich colipase-like 1 [Source:MGI Symbol;Acc:MGI:2686525]","protein_coding"
"19121","Flnc","filamin C, gamma [Source:MGI Symbol;Acc:MGI:95557]","protein_coding"
"19122","Myof","myoferlin [Source:MGI Symbol;Acc:MGI:1919192]","protein_coding"
"19123","Serpinb1b","serine (or cysteine) peptidase inhibitor, clade B, member 1b [Source:MGI Symbol;Acc:MGI:2445361]","protein_coding"
"19124","Maob","monoamine oxidase B [Source:MGI Symbol;Acc:MGI:96916]","protein_coding"
"19125","Ldb2","LIM domain binding 2 [Source:MGI Symbol;Acc:MGI:894670]","protein_coding"
"19126","Zfp449","zinc finger protein 449 [Source:MGI Symbol;Acc:MGI:1925869]","protein_coding"
"19127","Gm614","predicted gene 614 [Source:MGI Symbol;Acc:MGI:2685460]","protein_coding"
"19128","Bex2","brain expressed X-linked 2 [Source:MGI Symbol;Acc:MGI:1338017]","protein_coding"
"19129","Mpp1","membrane protein, palmitoylated [Source:MGI Symbol;Acc:MGI:105941]","protein_coding"
"19130","Ptgds","prostaglandin D2 synthase (brain) [Source:MGI Symbol;Acc:MGI:99261]","protein_coding"
"19131","Amelx","amelogenin, X-linked [Source:MGI Symbol;Acc:MGI:88005]","protein_coding"
"19132","F8","coagulation factor VIII [Source:MGI Symbol;Acc:MGI:88383]","protein_coding"
"19133","Pold4","polymerase (DNA-directed), delta 4 [Source:MGI Symbol;Acc:MGI:1916995]","protein_coding"
"19134","Incenp","inner centromere protein [Source:MGI Symbol;Acc:MGI:1313288]","protein_coding"
"19135","Sfrp4","secreted frizzled-related protein 4 [Source:MGI Symbol;Acc:MGI:892010]","protein_coding"
"19136","Foxf1","forkhead box F1 [Source:MGI Symbol;Acc:MGI:1347470]","protein_coding"
"19137","Rad9a","RAD9 checkpoint clamp component A [Source:MGI Symbol;Acc:MGI:1328356]","protein_coding"
"19138","Pank1","pantothenate kinase 1 [Source:MGI Symbol;Acc:MGI:1922985]","protein_coding"
"19139","Gda","guanine deaminase [Source:MGI Symbol;Acc:MGI:95678]","protein_coding"
"19140","Tmem138","transmembrane protein 138 [Source:MGI Symbol;Acc:MGI:1920232]","protein_coding"
"19141","Rin1","Ras and Rab interactor 1 [Source:MGI Symbol;Acc:MGI:2385695]","protein_coding"
"19142","Grk5","G protein-coupled receptor kinase 5 [Source:MGI Symbol;Acc:MGI:109161]","protein_coding"
"19143","Vldlr","very low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:98935]","protein_coding"
"19144","Tsc22d3","TSC22 domain family, member 3 [Source:MGI Symbol;Acc:MGI:1196284]","protein_coding"
"19145","Nkx6-1","NK6 homeobox 1 [Source:MGI Symbol;Acc:MGI:1206039]","protein_coding"
"19146","Txlng","taxilin gamma [Source:MGI Symbol;Acc:MGI:3590652]","protein_coding"
"19147","Gfap","glial fibrillary acidic protein [Source:MGI Symbol;Acc:MGI:95697]","protein_coding"
"19148","2010106E10Rik","RIKEN cDNA 2010106E10 gene [Source:MGI Symbol;Acc:MGI:1914965]","protein_coding"
"19149","Pbdc1","polysaccharide biosynthesis domain containing 1 [Source:MGI Symbol;Acc:MGI:1914933]","protein_coding"
"19150","Ms4a4d","membrane-spanning 4-domains, subfamily A, member 4D [Source:MGI Symbol;Acc:MGI:1913857]","protein_coding"
"19151","Mid1","midline 1 [Source:MGI Symbol;Acc:MGI:1100537]","protein_coding"
"19152","Nmrk1","nicotinamide riboside kinase 1 [Source:MGI Symbol;Acc:MGI:2147434]","protein_coding"
"19153","Syn1","synapsin I [Source:MGI Symbol;Acc:MGI:98460]","protein_coding"
"19154","Cfap300","cilia and flagella associated protein 300 [Source:MGI Symbol;Acc:MGI:3045346]","protein_coding"
"19155","B3gat3","beta-1,3-glucuronyltransferase 3 [Source:MGI Symbol;Acc:MGI:1919977]","protein_coding"
"19156","Nxf7","nuclear RNA export factor 7 [Source:MGI Symbol;Acc:MGI:2159343]","protein_coding"
"19157","Shoc2","Shoc2, leucine rich repeat scaffold protein [Source:MGI Symbol;Acc:MGI:1927197]","protein_coding"
"19158","Uxt","ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]","protein_coding"
"19159","Grin3b","glutamate receptor, ionotropic, NMDA3B [Source:MGI Symbol;Acc:MGI:2150393]","protein_coding"
"19160","Pyroxd2","pyridine nucleotide-disulphide oxidoreductase domain 2 [Source:MGI Symbol;Acc:MGI:1921830]","protein_coding"
"19161","Tmsb4x","thymosin, beta 4, X chromosome [Source:MGI Symbol;Acc:MGI:99510]","protein_coding"
"19162","Mid2","midline 2 [Source:MGI Symbol;Acc:MGI:1344333]","protein_coding"
"19163","Ms4a10","membrane-spanning 4-domains, subfamily A, member 10 [Source:MGI Symbol;Acc:MGI:1917076]","protein_coding"
"19164","Pof1b","premature ovarian failure 1B [Source:MGI Symbol;Acc:MGI:1916943]","protein_coding"
"19165","Ctsf","cathepsin F [Source:MGI Symbol;Acc:MGI:1861434]","protein_coding"
"19166","Xlr4a","X-linked lymphocyte-regulated 4A [Source:MGI Symbol;Acc:MGI:3574098]","protein_coding"
"19167","Med14","mediator complex subunit 14 [Source:MGI Symbol;Acc:MGI:1349442]","protein_coding"
"19168","F13a1","coagulation factor XIII, A1 subunit [Source:MGI Symbol;Acc:MGI:1921395]","protein_coding"
"19169","Insl6","insulin-like 6 [Source:MGI Symbol;Acc:MGI:1351595]","protein_coding"
"19170","Fra10ac1","FRA10A associated CGG repeat 1 [Source:MGI Symbol;Acc:MGI:1917817]","protein_coding"
"19171","Ndufa1","NADH:ubiquinone oxidoreductase subunit A1 [Source:MGI Symbol;Acc:MGI:1929511]","protein_coding"
"19172","Hdac8","histone deacetylase 8 [Source:MGI Symbol;Acc:MGI:1917565]","protein_coding"
"19173","P3h2","prolyl 3-hydroxylase 2 [Source:MGI Symbol;Acc:MGI:2146663]","protein_coding"
"19174","Dnajc4","DnaJ heat shock protein family (Hsp40) member C4 [Source:MGI Symbol;Acc:MGI:1927346]","protein_coding"
"19175","Trpc5","transient receptor potential cation channel, subfamily C, member 5 [Source:MGI Symbol;Acc:MGI:109524]","protein_coding"
"19176","Syt12","synaptotagmin XII [Source:MGI Symbol;Acc:MGI:2159601]","protein_coding"
"19177","Mettl24","methyltransferase like 24 [Source:MGI Symbol;Acc:MGI:3045338]","protein_coding"
"19178","Il2rg","interleukin 2 receptor, gamma chain [Source:MGI Symbol;Acc:MGI:96551]","protein_coding"
"19179","Htatsf1","HIV TAT specific factor 1 [Source:MGI Symbol;Acc:MGI:1919709]","protein_coding"
"19180","Xpnpep1","X-prolyl aminopeptidase (aminopeptidase P) 1, soluble [Source:MGI Symbol;Acc:MGI:2180003]","protein_coding"
"19181","Faim2","Fas apoptotic inhibitory molecule 2 [Source:MGI Symbol;Acc:MGI:1919643]","protein_coding"
"19182","Cdkl1","cyclin dependent kinase like 1 [Source:MGI Symbol;Acc:MGI:1918341]","protein_coding"
"19183","Procr","protein C receptor, endothelial [Source:MGI Symbol;Acc:MGI:104596]","protein_coding"
"19184","Gfra2","glial cell line derived neurotrophic factor family receptor alpha 2 [Source:MGI Symbol;Acc:MGI:1195462]","protein_coding"
"19185","Rpl39","ribosomal protein L39 [Source:MGI Symbol;Acc:MGI:1914498]","protein_coding"
"19186","Trem3","triggering receptor expressed on myeloid cells 3 [Source:MGI Symbol;Acc:MGI:1930003]","protein_coding"
"19187","Vmn1r86","vomeronasal 1 receptor 86 [Source:MGI Symbol;Acc:MGI:4438438]","protein_coding"
"19188","Lmo1","LIM domain only 1 [Source:MGI Symbol;Acc:MGI:102812]","protein_coding"
"19189","Fscn3","fascin actin-bundling protein 3 [Source:MGI Symbol;Acc:MGI:1890386]","protein_coding"
"19190","Mindy4","MINDY lysine 48 deubiquitinase 4 [Source:MGI Symbol;Acc:MGI:3583959]","protein_coding"
"19191","Syt10","synaptotagmin X [Source:MGI Symbol;Acc:MGI:1859546]","protein_coding"
"19192","A930009A15Rik","RIKEN cDNA A930009A15 gene [Source:MGI Symbol;Acc:MGI:1925048]","protein_coding"
"19193","Gprc5d","G protein-coupled receptor, family C, group 5, member D [Source:MGI Symbol;Acc:MGI:1935037]","protein_coding"
"19194","Clu","clusterin [Source:MGI Symbol;Acc:MGI:88423]","protein_coding"
"19195","Ccs","copper chaperone for superoxide dismutase [Source:MGI Symbol;Acc:MGI:1333783]","protein_coding"
"19196","Pygm","muscle glycogen phosphorylase [Source:MGI Symbol;Acc:MGI:97830]","protein_coding"
"19197","Ms4a12","membrane-spanning 4-domains, subfamily A, member 12 [Source:MGI Symbol;Acc:MGI:2685812]","protein_coding"
"19198","Rorb","RAR-related orphan receptor beta [Source:MGI Symbol;Acc:MGI:1343464]","protein_coding"
"19199","Fam111a","family with sequence similarity 111, member A [Source:MGI Symbol;Acc:MGI:1915508]","protein_coding"
"19200","Zfpl1","zinc finger like protein 1 [Source:MGI Symbol;Acc:MGI:1891017]","protein_coding"
"19201","Cdc37l1","cell division cycle 37-like 1 [Source:MGI Symbol;Acc:MGI:1914322]","protein_coding"
"19202","Clca2","chloride channel accessory 2 [Source:MGI Symbol;Acc:MGI:2139758]","protein_coding"
"19203","Pcolce2","procollagen C-endopeptidase enhancer 2 [Source:MGI Symbol;Acc:MGI:1923727]","protein_coding"
"19204","Pax9","paired box 9 [Source:MGI Symbol;Acc:MGI:97493]","protein_coding"
"19205","Rbm4b","RNA binding motif protein 4B [Source:MGI Symbol;Acc:MGI:1913954]","protein_coding"
"19206","Cpn1","carboxypeptidase N, polypeptide 1 [Source:MGI Symbol;Acc:MGI:2135874]","protein_coding"
"19207","4930503B20Rik","RIKEN cDNA 4930503B20 gene [Source:MGI Symbol;Acc:MGI:1922264]","protein_coding"
"19208","Tat","tyrosine aminotransferase [Source:MGI Symbol;Acc:MGI:98487]","protein_coding"
"19209","Vsnl1","visinin-like 1 [Source:MGI Symbol;Acc:MGI:1349453]","protein_coding"
"19210","Aldh3b2","aldehyde dehydrogenase 3 family, member B2 [Source:MGI Symbol;Acc:MGI:2147613]","protein_coding"
"19211","Ubxn1","UBX domain protein 1 [Source:MGI Symbol;Acc:MGI:1289301]","protein_coding"
"19212","Coch","cochlin [Source:MGI Symbol;Acc:MGI:1278313]","protein_coding"
"19213","Rtn3","reticulon 3 [Source:MGI Symbol;Acc:MGI:1339970]","protein_coding"
"19214","Slc8a3","solute carrier family 8 (sodium/calcium exchanger), member 3 [Source:MGI Symbol;Acc:MGI:107976]","protein_coding"
"19215","Slc26a4","solute carrier family 26, member 4 [Source:MGI Symbol;Acc:MGI:1346029]","protein_coding"
"19216","Oga","O-GlcNAcase [Source:MGI Symbol;Acc:MGI:1932139]","protein_coding"
"19217","Erich5","glutamate rich 5 [Source:MGI Symbol;Acc:MGI:2447772]","protein_coding"
"19218","Phactr1","phosphatase and actin regulator 1 [Source:MGI Symbol;Acc:MGI:2659021]","protein_coding"
"19219","Zfp977","zinc finger protein 977 [Source:MGI Symbol;Acc:MGI:3645327]","protein_coding"
"19220","Asrgl1","asparaginase like 1 [Source:MGI Symbol;Acc:MGI:1913764]","protein_coding"
"19221","Prss47","serine protease 47 [Source:MGI Symbol;Acc:MGI:2685120]","protein_coding"
"19222","Taf6l","TATA-box binding protein associated factor 6 like [Source:MGI Symbol;Acc:MGI:2444957]","protein_coding"
"19223","Neurog2","neurogenin 2 [Source:MGI Symbol;Acc:MGI:109619]","protein_coding"
"19224","Ttll2","tubulin tyrosine ligase-like family, member 2 [Source:MGI Symbol;Acc:MGI:3644030]","protein_coding"
"19225","AI837181","expressed sequence AI837181 [Source:MGI Symbol;Acc:MGI:2147598]","protein_coding"
"19226","Smc5","structural maintenance of chromosomes 5 [Source:MGI Symbol;Acc:MGI:2385088]","protein_coding"
"19227","Clrn1","clarin 1 [Source:MGI Symbol;Acc:MGI:2388124]","protein_coding"
"19228","Cspg4","chondroitin sulfate proteoglycan 4 [Source:MGI Symbol;Acc:MGI:2153093]","protein_coding"
"19229","Adora1","adenosine A1 receptor [Source:MGI Symbol;Acc:MGI:99401]","protein_coding"
"19230","Clcf1","cardiotrophin-like cytokine factor 1 [Source:MGI Symbol;Acc:MGI:1930088]","protein_coding"
"19231","Kif6","kinesin family member 6 [Source:MGI Symbol;Acc:MGI:1098238]","protein_coding"
"19232","Kcnk4","potassium channel, subfamily K, member 4 [Source:MGI Symbol;Acc:MGI:1298234]","protein_coding"
"19233","Fam124a","family with sequence similarity 124, member A [Source:MGI Symbol;Acc:MGI:3645930]","protein_coding"
"19234","Armh3","armadillo-like helical domain containing 3 [Source:MGI Symbol;Acc:MGI:1918867]","protein_coding"
"19235","Hs3st6","heparan sulfate (glucosamine) 3-O-sulfotransferase 6 [Source:MGI Symbol;Acc:MGI:3580487]","protein_coding"
"19236","Mab21l4","mab-21-like 4 [Source:MGI Symbol;Acc:MGI:1919124]","protein_coding"
"19237","Fam167a","family with sequence similarity 167, member A [Source:MGI Symbol;Acc:MGI:3606565]","protein_coding"
"19238","Sox7","SRY (sex determining region Y)-box 7 [Source:MGI Symbol;Acc:MGI:98369]","protein_coding"
"19239","Krt86","keratin 86 [Source:MGI Symbol;Acc:MGI:109362]","protein_coding"
"19240","Fibp","fibroblast growth factor (acidic) intracellular binding protein [Source:MGI Symbol;Acc:MGI:1926233]","protein_coding"
"19241","Crip3","cysteine-rich protein 3 [Source:MGI Symbol;Acc:MGI:2152434]","protein_coding"
"19242","Fermt3","fermitin family member 3 [Source:MGI Symbol;Acc:MGI:2147790]","protein_coding"
"19243","Ms4a2","membrane-spanning 4-domains, subfamily A, member 2 [Source:MGI Symbol;Acc:MGI:95495]","protein_coding"
"19244","Wbp1l","WW domain binding protein 1 like [Source:MGI Symbol;Acc:MGI:107577]","protein_coding"
"19245","Ide","insulin degrading enzyme [Source:MGI Symbol;Acc:MGI:96412]","protein_coding"
"19246","Tcf7l2","transcription factor 7 like 2, T cell specific, HMG box [Source:MGI Symbol;Acc:MGI:1202879]","protein_coding"
"19247","Lyplal1","lysophospholipase-like 1 [Source:MGI Symbol;Acc:MGI:2385115]","protein_coding"
"19248","Fcgr1","Fc receptor, IgG, high affinity I [Source:MGI Symbol;Acc:MGI:95498]","protein_coding"
"19249","Kif20b","kinesin family member 20B [Source:MGI Symbol;Acc:MGI:2444576]","protein_coding"
"19250","Tmeff1","transmembrane protein with EGF-like and two follistatin-like domains 1 [Source:MGI Symbol;Acc:MGI:1926810]","protein_coding"
"19251","Klc2","kinesin light chain 2 [Source:MGI Symbol;Acc:MGI:107953]","protein_coding"
"19252","Asb4","ankyrin repeat and SOCS box-containing 4 [Source:MGI Symbol;Acc:MGI:1929751]","protein_coding"
"19253","Unc93b1","unc-93 homolog B1, TLR signaling regulator [Source:MGI Symbol;Acc:MGI:1859307]","protein_coding"
"19254","Pax2","paired box 2 [Source:MGI Symbol;Acc:MGI:97486]","protein_coding"
"19255","Pcgf6","polycomb group ring finger 6 [Source:MGI Symbol;Acc:MGI:1918291]","protein_coding"
"19256","Slc1a1","solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1 [Source:MGI Symbol;Acc:MGI:105083]","protein_coding"
"19257","Kcnk7","potassium channel, subfamily K, member 7 [Source:MGI Symbol;Acc:MGI:1341841]","protein_coding"
"19258","Arl2","ADP-ribosylation factor-like 2 [Source:MGI Symbol;Acc:MGI:1928393]","protein_coding"
"19259","Ndufb8","NADH:ubiquinone oxidoreductase subunit B8 [Source:MGI Symbol;Acc:MGI:1914514]","protein_coding"
"19260","Nkx6-3","NK6 homeobox 3 [Source:MGI Symbol;Acc:MGI:1921811]","protein_coding"
"19261","Sdhaf2","succinate dehydrogenase complex assembly factor 2 [Source:MGI Symbol;Acc:MGI:1913322]","protein_coding"
"19262","Zfand5","zinc finger, AN1-type domain 5 [Source:MGI Symbol;Acc:MGI:1278334]","protein_coding"
"19263","Serpinb1c","serine (or cysteine) peptidase inhibitor, clade B, member 1c [Source:MGI Symbol;Acc:MGI:2445363]","protein_coding"
"19264","Nell2","NEL-like 2 [Source:MGI Symbol;Acc:MGI:1858510]","protein_coding"
"19265","Pax7","paired box 7 [Source:MGI Symbol;Acc:MGI:97491]","protein_coding"
"19266","1110059E24Rik","RIKEN cDNA 1110059E24 gene [Source:MGI Symbol;Acc:MGI:1913456]","protein_coding"
"19267","Cfap43","cilia and flagella associated protein 43 [Source:MGI Symbol;Acc:MGI:1289258]","protein_coding"
"19268","Fads2","fatty acid desaturase 2 [Source:MGI Symbol;Acc:MGI:1930079]","protein_coding"
"19269","Gad2","glutamic acid decarboxylase 2 [Source:MGI Symbol;Acc:MGI:95634]","protein_coding"
"19270","Clec4a2","C-type lectin domain family 4, member a2 [Source:MGI Symbol;Acc:MGI:1349412]","protein_coding"
"19271","Inhbc","inhibin beta-C [Source:MGI Symbol;Acc:MGI:105932]","protein_coding"
"19272","Uqcc3","ubiquinol-cytochrome c reductase complex assembly factor 3 [Source:MGI Symbol;Acc:MGI:2147553]","protein_coding"
"19273","Lgi1","leucine-rich repeat LGI family, member 1 [Source:MGI Symbol;Acc:MGI:1861691]","protein_coding"
"19274","Cdca5","cell division cycle associated 5 [Source:MGI Symbol;Acc:MGI:1915099]","protein_coding"
"19275","Gcnt1","glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676]","protein_coding"
"19276","Pcgf5","polycomb group ring finger 5 [Source:MGI Symbol;Acc:MGI:1923505]","protein_coding"
"19277","Uhrf2","ubiquitin-like, containing PHD and RING finger domains 2 [Source:MGI Symbol;Acc:MGI:1923718]","protein_coding"
"19278","Mrpl11","mitochondrial ribosomal protein L11 [Source:MGI Symbol;Acc:MGI:2137215]","protein_coding"
"19279","Dusp5","dual specificity phosphatase 5 [Source:MGI Symbol;Acc:MGI:2685183]","protein_coding"
"19280","Rcl1","RNA terminal phosphate cyclase-like 1 [Source:MGI Symbol;Acc:MGI:1913275]","protein_coding"
"19281","Sf1","splicing factor 1 [Source:MGI Symbol;Acc:MGI:1095403]","protein_coding"
"19282","Gm550","predicted gene 550 [Source:MGI Symbol;Acc:MGI:2685396]","protein_coding"
"19283","Pacs1","phosphofurin acidic cluster sorting protein 1 [Source:MGI Symbol;Acc:MGI:1277113]","protein_coding"
"19284","Synm","synemin, intermediate filament protein [Source:MGI Symbol;Acc:MGI:2661187]","protein_coding"
"19285","Trim8","tripartite motif-containing 8 [Source:MGI Symbol;Acc:MGI:1933302]","protein_coding"
"19286","Retnla","resistin like alpha [Source:MGI Symbol;Acc:MGI:1888504]","protein_coding"
"19287","Cpeb3","cytoplasmic polyadenylation element binding protein 3 [Source:MGI Symbol;Acc:MGI:2443075]","protein_coding"
"19288","H2-M2","histocompatibility 2, M region locus 2 [Source:MGI Symbol;Acc:MGI:95914]","protein_coding"
"19289","Ccdc154","coiled-coil domain containing 154 [Source:MGI Symbol;Acc:MGI:2685163]","protein_coding"
"19290","Prr22","proline rich 22 [Source:MGI Symbol;Acc:MGI:2685392]","protein_coding"
"19291","Ndufs8","NADH:ubiquinone oxidoreductase core subunit S8 [Source:MGI Symbol;Acc:MGI:2385079]","protein_coding"
"19292","Olfml2b","olfactomedin-like 2B [Source:MGI Symbol;Acc:MGI:2443310]","protein_coding"
"19293","Tle4","transducin-like enhancer of split 4 [Source:MGI Symbol;Acc:MGI:104633]","protein_coding"
"19294","Fam186a","family with sequence similarity 186, member A [Source:MGI Symbol;Acc:MGI:2685766]","protein_coding"
"19295","Asb10","ankyrin repeat and SOCS box-containing 10 [Source:MGI Symbol;Acc:MGI:2152836]","protein_coding"
"19296","Slc29a2","solute carrier family 29 (nucleoside transporters), member 2 [Source:MGI Symbol;Acc:MGI:1345278]","protein_coding"
"19297","Hbq1a","hemoglobin, theta 1A [Source:MGI Symbol;Acc:MGI:2685722]","protein_coding"
"19298","Cyp2c23","cytochrome P450, family 2, subfamily c, polypeptide 23 [Source:MGI Symbol;Acc:MGI:1888897]","protein_coding"
"19299","Kdm2a","lysine (K)-specific demethylase 2A [Source:MGI Symbol;Acc:MGI:1354736]","protein_coding"
"19300","Pum3","pumilio RNA-binding family member 3 [Source:MGI Symbol;Acc:MGI:106253]","protein_coding"
"19301","Adam23","a disintegrin and metallopeptidase domain 23 [Source:MGI Symbol;Acc:MGI:1345162]","protein_coding"
